ruta,metodo,archivo,linea
/api/desarrollador/developments/{dev_id}/assets/reorder,POST,backend/routes/documents.py,1012
/api/desarrollador/developments/{dev_id}/assets/{asset_id}/categorize,POST,backend/routes/documents.py,1017
/api/desarrollador/developments/{dev_id}/assets/{asset_id}/generate-360,POST,backend/routes/documents.py,1022
/api/desarrollador/developments/{dev_id}/assets/{asset_id},DELETE,backend/routes/documents.py,1027
/api/desarrollador/developments/{dev_id}/assets/regenerate-plano-thumbnails,POST,backend/routes/documents.py,1032
/api/drpi/national/{period},GET,backend/routes/drpi.py,140
/api/public/search/by-url,POST,backend/routes/external_search.py,148
/api/public/saved-search/confirm/{token},GET,backend/routes/external_search.py,296
/api/public/saved-search/unsubscribe/{token},GET,backend/routes/external_search.py,308
/api/buyer/favoritos,GET,backend/routes/favoritos.py,50
/api/buyer/favoritos/quitar,POST,backend/routes/favoritos.py,100
/api/buyer/favoritos/cita,POST,backend/routes/favoritos.py,125
/api/buyer/favoritos/nota,POST,backend/routes/favoritos.py,158
/api/forecast-public/zone/{slug},GET,backend/routes/forecast_public.py,54
/api/forecast-public/property,GET,backend/routes/forecast_public.py,116
/api/forecast-public/cache-stats,GET,backend/routes/forecast_public.py,179
/api/free-audit/submit,POST,backend/routes/free_audit.py,65
/api/free-audit/upload-floor-plan,POST,backend/routes/free_audit.py,91
/api/free-audit/floor-plan/{filename},GET,backend/routes/free_audit.py,116
/api/free-audit/{audit_id},GET,backend/routes/free_audit.py,126
/api/free-audit/{audit_id}/download,GET,backend/routes/free_audit.py,139
/api/free-audit/{audit_id}/resend-email,POST,backend/routes/free_audit.py,157
/api/funnel/event,POST,backend/routes/funnel.py,65
/api/zona/{colonia_id}/gentrificacion,GET,backend/routes/gentrificacion.py,22
/api/superadmin/gentrificacion/{colonia_id}/persist,POST,backend/routes/gentrificacion.py,38
/api/superadmin/gentrificacion/backfill,POST,backend/routes/gentrificacion.py,48
/api/gov-data-mx/public/{source_id},GET,backend/routes/gov_data_mx.py,169
/api/inmobiliaria/ampi-verify,POST,backend/routes/inmobiliaria.py,151
/api/auth/in-house/invitation,GET,backend/routes/internal_users.py,306
/api/investment-simulator/colonia/{slug}/baseline,GET,backend/routes/investment_simulator.py,72
/api/investment-simulator/stress-test,POST,backend/routes/investment_simulator.py,83
/api/investment-simulator/colonia/{slug}/comparables,GET,backend/routes/investment_simulator.py,97
/api/investment-simulator/analyze,POST,backend/routes/investment_simulator.py,132
/api/investment-simulator/min-rent,POST,backend/routes/investment_simulator.py,152
/api/investment-simulator/colonia/{slug}/autofill,GET,backend/routes/investment_simulator.py,160
/api/investment-simulator/capture-lead,POST,backend/routes/investment_simulator.py,176
/api/investment-simulator/save,POST,backend/routes/investment_simulator.py,189
/api/public/landing/colonia/{slug},GET,backend/routes/landings.py,54
/api/public/landing/alcaldia/{slug},GET,backend/routes/landings.py,117
/api/public/landing/intent/{intent},GET,backend/routes/landings.py,179
/api/public/landing/lead,POST,backend/routes/landings.py,235
/api/webhooks/email-inbound,POST,backend/routes/lead_capture.py,104
/api/webhooks/fb-lead-ads,GET,backend/routes/lead_capture.py,183
/api/webhooks/fb-lead-ads,POST,backend/routes/lead_capture.py,195
/api/lead-capture/score,POST,backend/routes/lead_capture_marketplace.py,110
/api/lead-capture,POST,backend/routes/lead_capture_marketplace.py,150
/api/lead-capture/pdf/{file_id},GET,backend/routes/lead_capture_marketplace.py,174
/api/live-pulse/zones,GET,backend/routes/live_pulse.py,96
/api/live-pulse/zone/{slug}/timeline,GET,backend/routes/live_pulse.py,127
/api/mapa/capas,GET,backend/routes/mapa_capas.py,62
/api/mapa/capa/{key},GET,backend/routes/mapa_capas.py,76
/api/mapa/colonia/{colonia_id}/predios-avm,GET,backend/routes/mapa_predios.py,40
/api/maps/layers/{layer_key},GET,backend/routes/maps.py,46
/api/maps/atlax-context,POST,backend/routes/maps.py,96
/api/maps/property/{prop_type}/{prop_id},GET,backend/routes/maps.py,110
/api/maps-cross/funnel-inverso/{listing_id},GET,backend/routes/maps_cross.py,36
/api/maps-cross/demand-gap,GET,backend/routes/maps_cross.py,65
/api/public/mortgage/calculate,POST,backend/routes/marketplace_calculator.py,87
/api/public/mortgage/save,POST,backend/routes/marketplace_calculator.py,122
/api/public/virtual-tour/request,POST,backend/routes/marketplace_calculator.py,150
/api/public/colonia/{colonia_id}/report-request,POST,backend/routes/marketplace_lead_tools.py,100
/api/public/quiz/submit,POST,backend/routes/marketplace_lead_tools.py,176
/api/public/compare,POST,backend/routes/marketplace_lead_tools.py,243
/api/public/compare/pdf,POST,backend/routes/marketplace_lead_tools.py,277
/api/public/map/levels,GET,backend/routes/marketplace_map.py,220
/api/public/map/heatmap,GET,backend/routes/marketplace_map.py,234
/api/public/map/colonia/{colonia_id},GET,backend/routes/marketplace_map.py,308
/api/public/search/by-image,POST,backend/routes/marketplace_search.py,54
/api/marketplace/developments,GET,backend/routes/marketplace_search.py,144
/api/marketplace/templates,GET,backend/routes/marketplace_templates.py,152
/api/marketplace/templates/search,GET,backend/routes/marketplace_templates.py,166
/api/mcp/track-adoption,POST,backend/routes/mcp_distribution.py,33
/api/mood/quiz/submit,POST,backend/routes/mood.py,72
/api/mood/property/{property_id}/profile,GET,backend/routes/mood.py,91
/api/mood/user/{visitor_session_id}/latest,GET,backend/routes/mood.py,112
/api/narrative/generate,POST,backend/routes/narrative.py,71
/api/narrative/cached/{scope}/{entity_id},GET,backend/routes/narrative.py,91
/api/narrative/feedback,POST,backend/routes/narrative.py,110
/api/users/{user_id}/newsletter-opt-in,POST,backend/routes/newsletter.py,150
/api/users/{user_id}/newsletter-opt-out/{segment},POST,backend/routes/newsletter.py,178
/api/users/{user_id}/newsletter-opt-out/{segment},GET,backend/routes/newsletter.py,179
/api/perfil/recomendar,POST,backend/routes/perfil_recomendar.py,168
/api/perfil/registrar-busqueda,POST,backend/routes/perfil_recomendar.py,269
/api/plusvalia/{colonia_id},GET,backend/routes/plusvalia.py,55
/api/plusvalia/_meta/colonias,GET,backend/routes/plusvalia.py,81
/api/plusvalia/_admin/estado,GET,backend/routes/plusvalia.py,93
/api/public/press/stats,GET,backend/routes/press.py,29
/api/auth/validate-code/{code},GET,backend/routes/private_beta.py,120
/api/auth/signup-broker,POST,backend/routes/private_beta.py,136
/api/waitlist/signup,POST,backend/routes/private_beta.py,208
/api/zona/{colonia_id}/pulso,GET,backend/routes/public.py,296
/api/zona/{colonia_id}/inversion,GET,backend/routes/public.py,335
/api/zona/{colonia_id}/ciclo,GET,backend/routes/public.py,497
/api/zona/{colonia_id}/riesgo,GET,backend/routes/public.py,524
/api/zona/{colonia_id}/vida,GET,backend/routes/public.py,541
/api/zona/{colonia_id}/lugares,GET,backend/routes/public.py,560
/api/zona/place-photo,GET,backend/routes/public.py,616
/api/market/vehiculos,GET,backend/routes/public.py,628
/api/inversion-v4/analyze,POST,backend/routes/public.py,640
/api/inversion-v4/analytics,GET,backend/routes/public.py,748
/api/inversion-v4/portafolio,POST,backend/routes/public.py,773
