engine,importado_por_n,importado_por,expuesto_en_endpoint,agendado_en_cron,estado_preliminar,auditado
backend/reviews_residents_cron.py,1,backend/server.py,backend/server.py,no,ACTIVO,
backend/reviews_residents_engine.py,5,backend/asistente_engine.py;backend/engines_batch_inversion.py;backend/reviews_residents_cron.py;backend/routes/reviews_residents.py;backend/server.py,backend/routes/reviews_residents.py;backend/server.py,backend/reviews_residents_cron.py,ACTIVO,
backend/risk_score_engine.py,11,backend/bancabilidad_engine.py;backend/cerebro/executors.py;backend/demand_intelligence.py;backend/engines_batch_geo.py;backend/routes/public_api_v1.py;backend/routes/risk_score.py,backend/routes/public_api_v1.py;backend/routes/risk_score.py;backend/server.py,backend/scheduler_ie.py,ACTIVO,
backend/score_engine.py,26,backend/cross_check_engine.py;backend/engines_batch_geo.py;backend/granularity_backfill.py;backend/granularity_registry.py;backend/recipe_catalog.py;backend/recipes/colonia/_helpers.py,backend/routes/press.py;backend/routes/public_zones.py;backend/routes/scores.py,backend/scheduler_ie.py,ACTIVO,
backend/score_inversion_engine.py,7,backend/demand_intelligence.py;backend/engines_hub.py;backend/investment_simulator_engine.py;backend/routes/score_inversion.py;backend/scheduler_f02.py;backend/server.py,backend/routes/score_inversion.py;backend/server.py,backend/scheduler_f02.py,ACTIVO,
backend/shf_engine.py,7,backend/colonia_valoracion_engine.py;backend/engines_hub.py;backend/gentrification_engine.py;backend/plusvalia_grid_engine.py;backend/routes/buy_signal.py;backend/routes/dev_batch2.py,backend/routes/buy_signal.py;backend/routes/dev_batch2.py;backend/routes/dmx_indices.py,no,ACTIVO,
backend/sig_catastro_engine.py,1,backend/routes/dmx_indices.py,backend/routes/dmx_indices.py,no,ACTIVO,
backend/simulador_palancas_engine.py,3,backend/demand_intelligence.py;backend/engines_batch_inversion.py;backend/routes/estudio_mercado.py,backend/routes/estudio_mercado.py,no,ACTIVO,
backend/smart_lists_engine.py,1,backend/routes/smart_lists.py,backend/routes/smart_lists.py,no,ACTIVO,
backend/soc_franchise_engine.py,4,backend/asistente_engine.py;backend/coaching_analysis.py;backend/routes/soc_franchise.py;backend/server.py,backend/routes/soc_franchise.py;backend/server.py,no,ACTIVO,
backend/social_ads_engine.py,3,backend/asistente_engine.py;backend/routes/social_ads.py;backend/server.py,backend/routes/social_ads.py;backend/server.py,no,ACTIVO,
backend/social_cards_engine.py,2,backend/routes/social_cards.py;backend/social_cards_cache.py,backend/routes/social_cards.py,no,ACTIVO,
backend/state_of_cdmx_engine.py,4,backend/engines_batch_geo.py;backend/routes/state_of_cdmx.py;backend/server.py;backend/tests/wave4/test_state_of_cdmx_engine_unit.py,backend/routes/state_of_cdmx.py;backend/server.py,no,ACTIVO,
backend/stripe_billing_engine.py,2,backend/routes/public_api_v1.py;backend/server.py,backend/routes/public_api_v1.py;backend/server.py,no,ACTIVO,
backend/studio_auto_content_cron.py,2,backend/routes/studio_auto_content.py;backend/server.py,backend/routes/studio_auto_content.py;backend/server.py,no,ACTIVO,
backend/studio_brand_kit_engine.py,2,backend/routes/studio_brand_kit.py;backend/server.py,backend/routes/studio_brand_kit.py;backend/server.py,no,ACTIVO,
backend/studio_buyer_copy_engine.py,3,backend/preferencias_engine.py;backend/routes/studio_buyer_copy.py;backend/server.py,backend/routes/studio_buyer_copy.py;backend/server.py,no,ACTIVO,
backend/studio_carrusel_ab_engine.py,1,backend/routes/studio_carrusel.py,backend/routes/studio_carrusel.py,no,ACTIVO,
backend/studio_carrusel_engine.py,3,backend/routes/studio_carrusel.py;backend/server.py;backend/studio_auto_content_cron.py,backend/routes/studio_carrusel.py;backend/server.py,backend/studio_auto_content_cron.py,ACTIVO,
backend/studio_engines.py,2,backend/routes/studio.py;backend/studio_video_providers.py,backend/routes/studio.py,no,ACTIVO,
backend/studio_hook_score_engine.py,2,backend/routes/studio_carrusel.py;backend/studio_carrusel_engine.py,backend/routes/studio_carrusel.py,no,ACTIVO,
backend/studio_landing_engine.py,2,backend/routes/studio_landing.py;backend/server.py,backend/routes/studio_landing.py;backend/server.py,no,ACTIVO,
backend/studio_video_engine.py,4,backend/asistente_engine.py;backend/routes/studio_video.py;backend/server.py;backend/video_standalone_engine.py,backend/routes/studio_video.py;backend/server.py,no,ACTIVO,
backend/tax_projector_engine.py,6,backend/asistente_engine.py;backend/comparator_engine.py;backend/engines_batch_inversion.py;backend/lead_capture_marketplace_engine.py;backend/narrative_collector.py;backend/routes/tax_projector.py,backend/routes/tax_projector.py,no,ACTIVO,
backend/terminal_mercado_engine.py,4,backend/engines_hub.py;backend/routes/public_api_v1.py;backend/routes/terminal_mercado.py;backend/scheduler_ie.py,backend/routes/public_api_v1.py;backend/routes/terminal_mercado.py,backend/scheduler_ie.py,ACTIVO,
backend/tour_3dgs_engine.py,3,backend/routes/tour_3dgs.py;backend/server.py;backend/tests/wave4/test_tour_3dgs_engine_unit.py,backend/routes/tour_3dgs.py;backend/server.py,no,ACTIVO,
