frontend_archivo,linea,metodo,url,endpoint_existe,schema_ok,estado,auditado
frontend/src/api/directories.js,27,GET,{var}/api/inmobiliaria/red-comercial,,,,
frontend/src/api/drpi.js,17,GET,{var}/api/drpi/snapshot/{var}?{var},,,,
frontend/src/api/drpi.js,21,GET,{var}/api/drpi/national/{var},,,,
frontend/src/api/drpi.js,30,POST,{var}/api/superadmin/drpi/list?{var},,,,
frontend/src/api/drpi.js,34,POST,{var}/api/superadmin/drpi/recompute,,,,
frontend/src/api/drpi.js,40,GET,{var}/api/superadmin/drpi/coefficients/{var}?tier={var},,,,
frontend/src/api/feature_flags.js,19,GET,{var}/api/me/feature-flags,,,,
frontend/src/api/forecast.js,5,GET,{var}/api/forecast-public/zone/{var}?horizons={var},,,,
frontend/src/api/forecast.js,28,GET,{var}/api/forecast-public/property?{var},,,,
frontend/src/api/forecastAccuracy.js,11,GET,{var}/api/superadmin/forecast-accuracy/summary,,,,
frontend/src/api/forecastAccuracy.js,17,GET,{var}/api/superadmin/forecast-accuracy/per-zone?horizon={var}&limit={var},,,,
frontend/src/api/forecastAccuracy.js,23,POST,{var}/api/superadmin/forecast-accuracy/run-backtest,,,,
frontend/src/api/fraudDetection.js,18,GET,{var}/api/superadmin/fraud-alerts?{var},,,,
frontend/src/api/fraudDetection.js,22,POST,{var}/api/superadmin/fraud-alerts/{var},,,,
frontend/src/api/fraudDetection.js,26,POST,{var}/api/superadmin/fraud-alerts/{var}/resolve,,,,
frontend/src/api/fraudDetection.js,34,POST,{var}/api/superadmin/fraud-alerts/{var}/dismiss,,,,
frontend/src/api/fraudDetection.js,42,POST,{var}/api/superadmin/fraud-alerts/scan,,,,
frontend/src/api/govDataMx.js,73,POST,{var}/api/superadmin/gov-data-mx/upload,,,,
frontend/src/api/indices.js,30,POST,{var}/api/superadmin/colonias/ingest?city={var},,,,
frontend/src/api/indices.js,40,POST,{var}/api/superadmin/colonias/compute-scores?city={var},,,,
frontend/src/api/indices.js,51,POST,{var}/api/superadmin/colonias/sync-comercios?city={var}&source={var},,,,
frontend/src/api/indices.js,61,POST,{var}/api/superadmin/colonias/sync-seguridad?city={var},,,,
frontend/src/api/indices.js,71,POST,{var}/api/superadmin/colonias/fill-chunk?city={var}&chunk={var},,,,
frontend/src/api/indices.js,81,POST,{var}/api/superadmin/colonias/sync-catastro?city={var},,,,
frontend/src/api/indices.js,91,POST,{var}/api/superadmin/colonias/sync-zonificacion?city={var},,,,
frontend/src/api/indices.js,101,POST,{var}/api/superadmin/colonias/dedupe?city={var},,,,
frontend/src/api/indices.js,111,POST,{var}/api/superadmin/colonias/recalibrate-comercial?city={var},,,,
frontend/src/api/indices.js,121,GET,{var}/api/superadmin/colonias/calibracion-comercial?city={var},,,,
frontend/src/api/indices.js,132,POST,{var}/api/superadmin/calibracion/terreno/aplicar,,,,
frontend/src/api/indices.js,140,GET,{var}/api/superadmin/shf,,,,
frontend/src/api/indices.js,148,POST,{var}/api/superadmin/shf/refresh,,,,
frontend/src/api/indices.js,156,GET,{var}/api/superadmin/colonias/valores-unitarios?city={var},,,,
frontend/src/api/indices.js,162,POST,{var}/api/superadmin/colonias/valores-unitarios/ingest?city={var},,,,
frontend/src/api/insights_external.js,18,GET,{var}/api/insights/global/all-sources,,,,
frontend/src/api/insights_external.js,23,GET,{var}/api/insights/global/{var},,,,
frontend/src/api/insights_external.js,28,GET,{var}/api/insights/methodology/sources,,,,
frontend/src/api/internal_users.js,21,POST,{var}/api/dev/internal-users,,,,
frontend/src/api/internal_users.js,24,PATCH,{var}/api/dev/internal-users,,,,
frontend/src/api/internal_users.js,27,PATCH,{var}/api/dev/internal-users/{var},,,,
frontend/src/api/internal_users.js,30,DELETE,{var}/api/dev/internal-users/{var},,,,
frontend/src/api/internal_users.js,33,POST,{var}/api/dev/internal-users/invitations/{var}/resend,,,,
frontend/src/api/internal_users.js,36,PUT,{var}/api/dev/settings/external-inventory,,,,
frontend/src/api/internal_users.js,39,GET,{var}/api/dev/mini-market,,,,
frontend/src/api/internal_users.js,45,POST,{var}/api/inmobiliaria/internal-users,,,,
frontend/src/api/internal_users.js,48,PATCH,{var}/api/inmobiliaria/internal-users,,,,
frontend/src/api/internal_users.js,51,PATCH,{var}/api/inmobiliaria/internal-users/{var},,,,
frontend/src/api/internal_users.js,54,DELETE,{var}/api/inmobiliaria/internal-users/{var},,,,
frontend/src/api/internal_users.js,57,PUT,{var}/api/inmobiliaria/settings/external-inventory,,,,
frontend/src/api/internal_users.js,60,GET,{var}/api/inmobiliaria/mini-market,,,,
frontend/src/api/internal_users.js,66,POST,{var}/api/auth/in-house/invitation?token={var},,,,
frontend/src/api/internal_users.js,69,POST,{var}/api/auth/in-house/accept-invitation,,,,
frontend/src/api/investmentExplorer.js,22,GET,{var}/api/superadmin/investment-explorer/zones?{var},,,,
frontend/src/api/investmentExplorer.js,29,GET,{var}/api/superadmin/investment-explorer/zones/{var}/detail?tier={var},,,,
frontend/src/api/lead_capture.js,40,POST,{var}/api/lead-capture/score,,,,
frontend/src/api/lead_capture.js,55,POST,{var}/api/lead-capture,,,,
frontend/src/api/marketplace.js,12,GET,{var}/api/developments?{var},,,,
frontend/src/api/marketplace.js,18,GET,{var}/api/developments/{var},,,,
frontend/src/api/marketplace.js,31,GET,{var}/api/developments/casi?{var},,,,
frontend/src/api/marketplace.js,44,GET,{var}/api/public/buy-signal/{var}${q ? ,,,,
frontend/src/api/marketplace.js,56,GET,{var}/api/public/ownership/{var}?{var},,,,
frontend/src/api/marketplace.js,66,GET,{var}/api/developments/{var}/assets{var},,,,
frontend/src/api/marketplace.js,80,GET,{var}/api/developments/{var}/units?{var},,,,
frontend/src/api/marketplace.js,86,GET,{var}/api/developments/{var}/similar,,,,
frontend/src/api/marketplace.js,92,GET,{var}/api/developers/{var},,,,
frontend/src/api/marketplace.js,98,POST,{var}/api/developments/{var}/briefing,,,,
frontend/src/api/marketplace.js,104,POST,{var}/api/properties/search-ai,,,,
frontend/src/api/marketplace.js,116,GET,{var}/api/colonias,,,,
frontend/src/api/marketplace.js,122,GET,{var}/api/colonias/{var},,,,
frontend/src/api/marketplace.js,134,GET,{var}/api/properties?{var},,,,
frontend/src/api/marketplace.js,140,GET,{var}/api/properties/{var},,,,
frontend/src/api/marketplace.js,146,POST,{var}/api/properties/{var}/similares,,,,
frontend/src/api/marketplace.js,152,POST,{var}/api/properties/{var}/briefing,,,,
frontend/src/api/marketplace.js,162,GET,{var}/api/public/map/heatmap?{var},,,,
frontend/src/api/marketplace.js,168,GET,{var}/api/public/map/levels,,,,
frontend/src/api/marketplace.js,174,GET,{var}/api/public/map/colonia/{var},,,,
frontend/src/api/marketplace.js,182,POST,{var}/api/public/search/by-image,,,,
frontend/src/api/marketplace.js,198,POST,{var}/api/public/search/by-url,,,,
frontend/src/api/marketplace.js,210,POST,{var}/api/public/saved-search,,,,
frontend/src/api/marketplace.js,224,POST,{var}/api/public/colonia/{var}/report-request,,,,
frontend/src/api/marketplace.js,236,POST,{var}/api/public/quiz/submit,,,,
frontend/src/api/marketplace.js,248,POST,{var}/api/public/compare,,,,
frontend/src/api/marketplace.js,260,POST,{var}/api/public/compare/pdf,,,,
frontend/src/api/marketplace.js,270,POST,{var}/api/comprador/compare,,,,
frontend/src/api/marketplace.js,284,POST,{var}/api/comprador/compare/pdf,,,,
frontend/src/api/marketplace.js,297,POST,{var}/api/public/mortgage/calculate,,,,
frontend/src/api/marketplace.js,309,POST,{var}/api/public/mortgage/save,,,,
frontend/src/api/marketplace.js,323,GET,{var}/api/public/colonia/{var}/history,,,,
frontend/src/api/marketplace.js,333,GET,{var}/api/share/comparar/meta?{var},,,,
frontend/src/api/marketplace.js,344,POST,{var}/api/public/virtual-tour/request,,,,
frontend/src/api/mood.js,9,POST,{var}/api/mood/quiz/submit,,,,
frontend/src/api/mood.js,29,GET,{var}/api/mood/property/{var}/profile,,,,
frontend/src/api/mood.js,47,GET,{var}/api/mood/user/{var}/latest,,,,
frontend/src/api/preferences18.js,7,GET,{var}/api/preferences/me,,,,
frontend/src/api/preferences18.js,13,PATCH,{var}/api/preferences/me,,,,
frontend/src/api/preferences18.js,24,POST,{var}/api/preferences/me/recent-project,,,,
frontend/src/api/probability.js,19,GET,{var}/api/probability/{var}?{var},,,,
frontend/src/api/recommendations.js,6,GET,{var}/api/recommendations/top,,,,
frontend/src/api/reverse_search.js,5,POST,{var}/api/reverse-search,,,,
frontend/src/api/riskAlerts.js,17,GET,{var}/api/superadmin/risk-alerts?{var},,,,
frontend/src/api/riskAlerts.js,21,GET,{var}/api/superadmin/risk-alerts/timeline/{var}?limit={var},,,,
frontend/src/api/riskAlerts.js,28,POST,{var}/api/superadmin/risk-alerts/{var}/acknowledge,,,,
frontend/src/api/riskScore.js,11,GET,{var}/api/risk-score/zone/{var},,,,
frontend/src/api/riskScore.js,18,POST,{var}/api/superadmin/risk-score/all?{var},,,,
frontend/src/api/riskScore.js,22,POST,{var}/api/superadmin/risk-score/recompute,,,,
frontend/src/api/riskScore.js,28,GET,{var}/api/superadmin/crime-data/{var}/breakdown?period_months={var},,,,
frontend/src/api/social_cards.js,23,GET,{var}/api/superadmin/social-cards/stats,,,,
frontend/src/api/studioVideo.js,24,POST,{var}/api/studio-video/generate-video,,,,
frontend/src/api/studioVideo.js,47,POST,{var}/api/studio/video/script,,,,
frontend/src/api/studioVideo.js,78,GET,{var}/api/studio-video/tasks?limit={var},,,,
frontend/src/api/studioVideo.js,93,GET,{var}/api/studio-video/tasks/{var},,,,
frontend/src/api/studioVideo.js,108,DELETE,{var}/api/studio-video/tasks/{var},,,,
frontend/src/api/studio_intake.js,37,POST,{var}/api/studio/property-intake/public/{var}/lead,,,,
frontend/src/api/superadminApiKeys.js,15,GET,{var}/api/superadmin/api-keys?{var},,,,
frontend/src/api/superadminApiKeys.js,19,POST,{var}/api/superadmin/api-keys,,,,
frontend/src/api/superadminApiKeys.js,27,PATCH,{var}/api/superadmin/api-keys/{var},,,,
frontend/src/api/superadminApiKeys.js,35,DELETE,{var}/api/superadmin/api-keys/{var},,,,
frontend/src/api/superadminApiKeys.js,41,GET,{var}/api/superadmin/api-keys/{var}/usage?days={var},,,,
frontend/src/api/superadminApiKeys.js,48,GET,{var}/api/v1/openapi,,,,
frontend/src/api/superadminApiKeys.js,52,POST,{var}/api/superadmin/stripe/{var},,,,
frontend/src/api/superadminApiKeys.js,56,POST,{var}/api/superadmin/stripe/{var}/subscribe,,,,
frontend/src/api/superadminApiKeys.js,64,POST,{var}/api/superadmin/stripe/{var}/cancel,,,,
frontend/src/api/superadminCatalogPulse.js,5,GET,{var}/api/superadmin/catalog-pulse/dashboard,,,,
frontend/src/api/superadminCatalogPulse.js,12,GET,{var}/api/superadmin/catalog-pulse/project/{var},,,,
frontend/src/api/superadminCompliance.js,7,POST,{var}/api/privacy/dsr,,,,
frontend/src/api/superadminCompliance.js,18,GET,{var}/api/privacy/dsr/{var}/verify?token={var},,,,
frontend/src/api/superadminCompliance.js,31,GET,{var}/api/superadmin/compliance/dsr-requests?{var},,,,
frontend/src/api/superadminCompliance.js,40,POST,{var}/api/superadmin/compliance/dsr-requests/{var}/process,,,,
frontend/src/api/superadminCompliance.js,53,GET,{var}/api/superadmin/compliance/audit-trail?{var},,,,
frontend/src/api/superadminCompliance.js,64,GET,{var}/api/superadmin/compliance/cross-org?{var},,,,
frontend/src/api/superadminDataLake.js,61,GET,{var}/api/data-lake/public/validation,,,,
frontend/src/api/superadminDevmaster.js,7,GET,{var}/api/superadmin/copiloto/intel?dias={var},,,,
frontend/src/api/superadminDevmaster.js,14,GET,{var}/api/superadmin/devmaster/projects${qs ? ,,,,
frontend/src/api/superadminDevmaster.js,20,GET,{var}/api/superadmin/devmaster/project/{var},,,,
frontend/src/api/superadminDevmaster.js,27,GET,{var}/api/superadmin/devmaster/donde-construir${qs ? ,,,,
frontend/src/api/superadminDevmaster.js,34,GET,{var}/api/superadmin/devmaster/gusto-mercado${qs ? ,,,,
frontend/src/api/superadminDevmaster.js,41,GET,{var}/api/superadmin/devmaster/comportamiento${qs ? ,,,,
frontend/src/api/superadminDevmaster.js,48,GET,{var}/api/superadmin/devmaster/stock-soldout${qs ? ,,,,
frontend/src/api/superadminDevmaster.js,55,GET,{var}/api/superadmin/devmaster/macro-ciudad${qs ? ,,,,
frontend/src/api/superadminDevmaster.js,62,GET,{var}/api/superadmin/devmaster/competencia-red${qs ? ,,,,
frontend/src/api/superadminDevmaster.js,68,GET,{var}/api/superadmin/devmaster/observabilidad-ia,,,,
frontend/src/api/superadminDevmaster.js,74,POST,{var}/api/superadmin/devmaster/activar-modelo/{var},,,,
frontend/src/api/superadminDevmaster.js,82,GET,{var}/api/superadmin/devmaster/equipo-en-riesgo?{var},,,,
frontend/src/api/superadminDevmaster.js,89,GET,{var}/api/superadmin/inmobiliaria/leads?status={var},,,,
frontend/src/api/superadminDevmaster.js,94,GET,{var}/api/superadmin/inmobiliaria/asesores,,,,
frontend/src/api/superadminDevmaster.js,99,POST,{var}/api/superadmin/inmobiliaria/leads/{var}/assign,,,,
frontend/src/api/superadminHealth.js,19,GET,{var}/api/superadmin/health/overview,,,,
frontend/src/api/superadminHealth.js,23,GET,{var}/api/superadmin/health/crons,,,,
frontend/src/api/superadminHealth.js,29,POST,{var}/api/superadmin/health/alerts?{var},,,,
frontend/src/api/superadminHealth.js,33,POST,{var}/api/superadmin/health/alerts/{var}/resolve,,,,
frontend/src/api/superadminHealth.js,39,POST,{var}/api/superadmin/health/alerts/test,,,,
frontend/src/api/superadminLandingLeads.js,14,GET,{var}/api/superadmin/landing-leads/summary,,,,
frontend/src/api/superadminLandingLeads.js,22,GET,{var}/api/superadmin/landing-leads/by-zone,,,,
frontend/src/api/superadminLandingLeads.js,30,GET,{var}/api/superadmin/landing-leads{var},,,,
frontend/src/api/superadminPartners.js,8,GET,{var}/api/superadmin/partners?{var},,,,
frontend/src/api/superadminPartners.js,15,GET,{var}/api/superadmin/partners/{var},,,,
frontend/src/api/superadminPartners.js,24,POST,{var}/api/superadmin/partners,,,,
frontend/src/api/superadminPartners.js,36,PATCH,{var}/api/superadmin/partners/{var},,,,
frontend/src/api/superadminPartners.js,48,GET,{var}/api/superadmin/cross-sell/analytics?days={var},,,,
frontend/src/api/superadminPartners.js,57,POST,{var}/api/superadmin/cross-sell/revenue-events/manual,,,,
frontend/src/api/superadminTenants.js,21,GET,{var}/api/superadmin/tenants?{var},,,,
frontend/src/api/superadminTenants.js,25,GET,{var}/api/superadmin/tenants/{var},,,,
frontend/src/api/superadminTenants.js,29,POST,{var}/api/superadmin/tenants/{var}/impersonate,,,,
frontend/src/api/superadminTenants.js,35,POST,{var}/api/superadmin/tenants/impersonate/end,,,,
frontend/src/api/superadminTenants.js,41,PATCH,{var}/api/superadmin/tenants/{var}/status,,,,
frontend/src/api/verticalProducts.js,12,POST,{var}/api/v1/verticals/{var},,,,
frontend/src/api/videoStandalone.js,59,POST,{var}/api/video-standalone/{var}/export?format=pdf,,,,
frontend/src/api/videoStandalone.js,86,DELETE,{var}/api/video-standalone/{var},,,,
frontend/src/api/virtual_staging.js,9,POST,{var}/api/virtual-staging,,,,
frontend/src/api/virtual_staging.js,33,GET,{var}/api/virtual-staging/cache/{var}${qs.toString() ? ,,,,
frontend/src/api/whatifApi.js,23,POST,{var}/api/whatif/simulate,,,,
frontend/src/api/whatifApi.js,34,GET,{var}/api/whatif/scenarios?{var},,,,
frontend/src/api/whatifApi.js,38,DELETE,{var}/api/whatif/scenarios/{var},,,,
frontend/src/api/whatifApi.js,42,DELETE,{var}/api/whatif/scenarios/{var},,,,
frontend/src/api/whatsapp_stub.js,37,POST,{var}/api/whatsapp/build-link,,,,
frontend/src/api/widget_embed_analytics.js,27,GET,{var}/api/superadmin/widgets/embed-stats?{var},,,,
frontend/src/api/widget_embed_analytics.js,34,GET,{var}/api/superadmin/widgets/embed-new-domains,,,,
frontend/src/api/wizard.js,27,POST,{var}/api/dev/wizard/ia-extract,,,,
