coleccion,n_archivos,archivos
asesor_lead_properties,7,backend/routes/advisor.py;backend/routes/favoritos.py;backend/routes/swipe_public.py;backend/taste_profile.py;scripts/concurrent_load.py;scripts/e2e_cohort.py;scripts/flywheel_final.py
user_preferences,7,backend/routes/dev_batch18.py;backend/routes/dev_batch19.py;backend/routes/diagnostic.py;backend/routes/search_prefs.py;backend/routes/team_aggregated.py;backend/routes/tour_analytics.py;backend/tests/test_batch21.py
asesor_contacto_timeline,6,backend/agent_workforce/nurturer.py;backend/close_probability.py;backend/pipeline_drift_personal.py;backend/routes/advisor.py;backend/routes/swipe_public.py;backend/tests/test_agent_closer_analyst.py
lead_routings,6,backend/agentic_crm/match_weights_engine.py;backend/agentic_crm/observability_engine.py;backend/agentic_crm/smart_routing_engine.py;backend/lead_nurture_engine.py;backend/routes/agentic_crm.py;backend/routes/observability.py
subagent_runs,6,backend/agentic_crm/observability_engine.py;backend/routes/observability.py;backend/routes/subagents.py;backend/sub_agents/lead_agent.py;backend/sub_agents/marketing_agent.py;backend/sub_agents/pricing_agent.py
asistente_messages,6,backend/agentic_crm/visit_prep_engine.py;backend/asistente_engine.py;backend/demand_intelligence.py;backend/marketplace_granularity.py;backend/migrations/migrate_caya_to_asistente.py;backend/routes/asistente.py
facts_daily_zone,6,backend/anonymization_engine.py;backend/data_lake_etl.py;backend/intelligence_insights_engine.py;backend/model_validation_engine.py;backend/routes/public_api_v1.py;backend/zone_score_engine.py
asistente_sessions,6,backend/asistente_engine.py;backend/atlax_engine.py;backend/marketplace_granularity.py;backend/migrations/migrate_caya_to_asistente.py;backend/rag_engine.py;backend/routes/asistente.py
listing_imports,6,backend/asistente_engine.py;backend/rag_engine.py;backend/routes/studio_landing.py;backend/routes/studio_listing.py;backend/studio_landing_engine.py;backend/studio_listing_importer.py
project_assets,6,backend/bulk_ingest_engine.py;backend/probes/schema.py;backend/routes/dev_batch14.py;backend/routes/diagnostic.py;backend/server.py;backend/services/image_embeddings.py
